train losses      0:	1.254	0.5417	0.5511	0.5678	0.3373	0.3397	0.7034	0.743	0.4623	0.4764	1.556	1.581	1.446	1.449	

val losses        0:	0.6736	0.5227	0.4972	0.5501	0.3246	0.318	0.6884	0.75	0.4379	0.4548	1.614	1.675	1.567	1.541	 | 0.8296 mean
                     	1.655	1.463	1.602	1.824	0.8548	0.838	2.042	2.261	1.235	1.245	4.889	5.047	4.301	4.238	 | 2.848 quantile
                      	4.527	5.743	6.146	6.629	3.046	2.984	7.328	7.159	3.161	3.225	12.68	12.71	8.701	8.628	 | 12.71 max

train losses      1:	0.7004	0.5378	0.5132	0.5306	0.3372	0.3293	0.696	0.7405	0.4589	0.4652	1.554	1.576	1.445	1.445	
train losses      2:	0.6762	0.5313	0.4452	0.4471	0.3356	0.3277	0.6709	0.7215	0.4567	0.4632	1.548	1.566	1.437	1.436	
train losses      3:	0.6692	0.5264	0.3913	0.3806	0.3374	0.3273	0.6008	0.6583	0.4535	0.461	1.525	1.536	1.422	1.421	
train losses      4:	0.6453	0.5253	0.3814	0.3781	0.3414	0.3291	0.5079	0.5494	0.4517	0.462	1.419	1.42	1.372	1.366	
train losses      5:	0.6655	0.5228	0.3424	0.3456	0.3392	0.3313	0.4846	0.4933	0.4509	0.4539	1.281	1.294	1.318	1.313	
train losses      6:	0.6504	0.5227	0.3141	0.3293	0.3391	0.33	0.4415	0.4592	0.4466	0.45	1.238	1.254	1.273	1.27	
train losses      7:	0.6332	0.5216	0.2946	0.314	0.3373	0.3286	0.4224	0.4354	0.4442	0.4479	1.211	1.23	1.257	1.255	
train losses      8:	0.6343	0.5189	0.2781	0.3042	0.3354	0.3274	0.3969	0.4077	0.444	0.4471	1.178	1.195	1.238	1.234	
train losses      9:	0.6275	0.5152	0.2685	0.291	0.3346	0.3268	0.3852	0.3941	0.4429	0.4464	1.159	1.175	1.228	1.224	
train losses     10:	0.611	0.5123	0.2631	0.2842	0.3341	0.3267	0.378	0.3841	0.4432	0.4455	1.137	1.154	1.218	1.217	

val losses       10:	0.6104	0.4953	0.2541	0.2738	0.3205	0.3126	0.3891	0.3987	0.4258	0.4382	1.303	1.322	1.444	1.433	 | 0.673 mean
                     	1.496	1.376	0.7052	0.7827	0.847	0.8302	1.036	1.103	1.187	1.176	3.767	3.696	3.814	3.777	 | 2.379 quantile
                      	3.695	5.511	2.609	2.289	2.981	2.99	2.63	2.574	2.885	2.91	7.884	8.035	6.561	6.549	 | 8.035 max

train losses     11:	0.6212	0.5072	0.2613	0.2775	0.3338	0.3266	0.3767	0.3846	0.4423	0.4469	1.142	1.159	1.204	1.201	
train losses     12:	0.6138	0.5025	0.2602	0.2741	0.3338	0.3265	0.3707	0.3773	0.4415	0.4454	1.116	1.131	1.198	1.192	
train losses     13:	0.6034	0.496	0.2551	0.2654	0.3335	0.3263	0.3658	0.3707	0.4426	0.446	1.102	1.12	1.194	1.192	
train losses     14:	0.5977	0.4889	0.2553	0.2676	0.3335	0.326	0.3669	0.3732	0.4421	0.4459	1.11	1.122	1.182	1.182	
train losses     15:	0.6187	0.4789	0.2548	0.2617	0.3331	0.3258	0.3632	0.3673	0.4408	0.4445	1.075	1.091	1.156	1.154	
train losses     16:	0.6003	0.4684	0.2538	0.2599	0.333	0.3255	0.361	0.3668	0.4417	0.4456	1.068	1.081	1.157	1.157	
train losses     17:	0.6217	0.4556	0.2511	0.2551	0.3329	0.3252	0.3625	0.3685	0.4414	0.4447	1.068	1.082	1.151	1.149	
train losses     18:	0.6125	0.4423	0.2475	0.2522	0.3326	0.3247	0.3561	0.3608	0.4412	0.4445	1.026	1.04	1.119	1.119	
train losses     19:	0.6087	0.4285	0.2443	0.2483	0.3322	0.3243	0.3542	0.3616	0.441	0.4449	1.025	1.041	1.137	1.137	
train losses     20:	0.6041	0.4141	0.2425	0.2449	0.3323	0.3238	0.3554	0.3614	0.4428	0.4465	1.028	1.045	1.142	1.14	

val losses       20:	0.6006	0.3976	0.2366	0.2402	0.3185	0.3095	0.3808	0.3824	0.4245	0.4395	1.379	1.391	1.454	1.438	 | 0.6709 mean
                     	1.456	1.087	0.6663	0.6758	0.8448	0.8243	1.014	1.041	1.171	1.179	3.923	3.808	3.755	3.701	 | 2.425 quantile
                      	3.727	4.166	1.916	2.132	2.904	2.984	2.467	2.445	2.923	2.91	7.891	7.913	6.669	6.461	 | 7.913 max

train losses     21:	0.5964	0.4005	0.2406	0.2424	0.3322	0.3236	0.3557	0.361	0.4414	0.4451	0.9976	1.014	1.114	1.112	
train losses     22:	0.6052	0.3877	0.2363	0.2408	0.3319	0.3232	0.3543	0.3604	0.4406	0.4452	1.013	1.024	1.1	1.098	
train losses     23:	0.5968	0.3793	0.2348	0.2381	0.3316	0.3229	0.3512	0.357	0.4418	0.4453	0.9778	0.9868	1.097	1.099	
train losses     24:	0.6048	0.3721	0.2368	0.2379	0.3317	0.323	0.3534	0.3583	0.4406	0.445	0.996	1.009	1.076	1.078	
train losses     25:	0.6078	0.3678	0.236	0.2366	0.3316	0.3227	0.3524	0.3594	0.4403	0.4445	1.005	1.023	1.039	1.039	
train losses     26:	0.6023	0.3615	0.2349	0.2383	0.3315	0.3227	0.3493	0.3546	0.4402	0.4436	0.9834	0.9966	1.029	1.03	
train losses     27:	0.5842	0.3578	0.2305	0.2311	0.3313	0.3224	0.3486	0.3508	0.4404	0.4442	0.9247	0.9307	1.027	1.026	
train losses     28:	0.5959	0.3547	0.2342	0.2357	0.3315	0.3223	0.3486	0.3522	0.4396	0.4437	0.9358	0.9485	1.014	1.017	
train losses     29:	0.6106	0.3506	0.2332	0.2341	0.3313	0.3223	0.347	0.3516	0.4402	0.4444	0.9297	0.9432	0.9999	0.9998	
train losses     30:	0.5953	0.3479	0.2308	0.2295	0.3313	0.3223	0.3466	0.3501	0.4409	0.445	1.002	1.012	1.009	1.007	

val losses       30:	0.5991	0.3352	0.2276	0.2234	0.3173	0.3081	0.3724	0.3729	0.4272	0.4406	1.484	1.489	1.453	1.445	 | 0.6782 mean
                     	1.434	0.9238	0.6121	0.6174	0.8428	0.8192	0.9837	1.008	1.177	1.185	3.853	3.896	3.802	3.773	 | 2.513 quantile
                      	3.711	3.171	2.168	2.691	2.905	3.015	2.375	2.427	2.98	2.958	8.195	8.546	6.611	6.545	 | 8.546 max

train losses     31:	0.5919	0.3468	0.2316	0.2313	0.3312	0.3222	0.3485	0.3514	0.4404	0.4441	0.96	0.9712	0.98	0.9766	
train losses     32:	0.5981	0.3438	0.2266	0.2283	0.3311	0.3222	0.3429	0.3479	0.4405	0.4448	0.8815	0.8987	0.9692	0.9697	
train losses     33:	0.5941	0.3424	0.2271	0.2275	0.3312	0.3221	0.3437	0.3483	0.4393	0.4438	0.9101	0.9203	0.9483	0.9512	
train losses     34:	0.5851	0.3387	0.2289	0.227	0.3312	0.3221	0.3451	0.3469	0.4404	0.4443	0.8715	0.8862	0.9831	0.9857	
train losses     35:	0.5834	0.3364	0.2276	0.2277	0.331	0.322	0.3391	0.3456	0.442	0.4468	0.9007	0.9127	1.015	1.016	
train losses     36:	0.5864	0.3365	0.2299	0.2298	0.3311	0.322	0.3402	0.3453	0.4398	0.444	0.8706	0.8731	0.9386	0.9384	
train losses     37:	0.5944	0.3344	0.2264	0.2259	0.3311	0.322	0.341	0.3447	0.4395	0.4441	0.8301	0.8311	0.917	0.9188	
train losses     38:	0.5884	0.3334	0.2265	0.2259	0.3309	0.322	0.3389	0.3417	0.4392	0.4436	0.8791	0.8923	0.9051	0.9055	
train losses     39:	0.5808	0.3314	0.2263	0.2274	0.3309	0.3219	0.341	0.3477	0.4391	0.4434	0.8041	0.8111	0.8664	0.8648	
train losses     40:	0.5739	0.33	0.2264	0.2244	0.331	0.3219	0.3368	0.3387	0.4393	0.4438	0.7821	0.7837	0.8472	0.8499	

val losses       40:	0.5977	0.3249	0.2258	0.2203	0.317	0.3074	0.3672	0.3708	0.4269	0.4408	1.378	1.39	1.489	1.474	 | 0.6665 mean
                     	1.439	0.8988	0.6118	0.6132	0.8393	0.821	0.9665	0.9938	1.183	1.189	3.754	3.713	3.897	3.892	 | 2.466 quantile
                      	3.855	3.015	2.073	2.53	2.885	3.005	2.442	2.417	2.965	2.941	7.588	7.51	6.658	6.778	 | 7.588 max

train losses     41:	0.5779	0.3282	0.2289	0.2278	0.331	0.322	0.3408	0.3451	0.4393	0.4443	0.7965	0.8036	0.8441	0.8451	
train losses     42:	0.6054	0.3268	0.2238	0.2246	0.3309	0.3219	0.3375	0.3427	0.4399	0.4448	0.8403	0.8452	0.8225	0.8229	
train losses     43:	0.5913	0.3251	0.2251	0.2261	0.3309	0.3219	0.3371	0.3403	0.4393	0.4442	0.7963	0.8064	0.8053	0.8074	
train losses     44:	0.5865	0.3249	0.2228	0.2238	0.3309	0.3219	0.3356	0.3405	0.4403	0.4451	0.7872	0.801	0.8454	0.8455	
train losses     45:	0.5865	0.3249	0.2237	0.2243	0.3309	0.3219	0.337	0.3394	0.4395	0.4441	0.7602	0.7709	0.7953	0.7962	
train losses     46:	0.5979	0.323	0.2246	0.2226	0.3309	0.3218	0.3356	0.3399	0.4411	0.445	0.7268	0.7367	0.8494	0.8472	
train losses     47:	0.5925	0.3225	0.2241	0.2247	0.3308	0.3218	0.3382	0.3448	0.44	0.4442	0.7246	0.7312	0.8084	0.8093	
train losses     48:	0.582	0.321	0.2231	0.221	0.3309	0.322	0.3326	0.3358	0.4389	0.4437	0.7842	0.8023	0.7468	0.749	
train losses     49:	0.5908	0.3224	0.2242	0.2251	0.3308	0.3219	0.3405	0.3452	0.4404	0.4454	0.9679	0.9796	0.8059	0.8098	
train losses     50:	0.5811	0.3217	0.2222	0.2228	0.3307	0.3218	0.3345	0.3382	0.4401	0.4449	0.8137	0.8201	0.7766	0.7778	

val losses       50:	0.5964	0.3139	0.2224	0.2187	0.3168	0.3074	0.3644	0.3652	0.4262	0.44	1.38	1.39	1.494	1.478	 | 0.6653 mean
                     	1.432	0.8714	0.593	0.6059	0.8406	0.8214	0.9566	0.9805	1.183	1.181	3.831	3.755	3.894	3.885	 | 2.45 quantile
                      	3.778	2.897	2.109	2.603	2.888	3.008	2.393	2.451	2.979	2.958	7.924	7.859	7.193	7.312	 | 7.924 max

train losses     51:	0.5921	0.3203	0.2233	0.2221	0.3309	0.3219	0.3344	0.3369	0.4401	0.4443	0.7361	0.7402	0.7734	0.772	
train losses     52:	0.5797	0.3189	0.2243	0.2251	0.3307	0.3217	0.3364	0.3419	0.4391	0.4436	0.7319	0.7388	0.734	0.7356	
train losses     53:	0.5904	0.3198	0.2244	0.2228	0.3308	0.3218	0.3326	0.3356	0.4407	0.4457	0.7331	0.7425	0.8162	0.8155	
train losses     54:	0.5905	0.3187	0.2228	0.2209	0.3307	0.3218	0.3321	0.3363	0.4405	0.4452	0.7498	0.7592	0.7684	0.7703	
train losses     55:	0.5847	0.3182	0.2215	0.2212	0.3308	0.3218	0.3322	0.3358	0.4406	0.4452	0.7198	0.7313	0.7814	0.78	
train losses     56:	0.593	0.317	0.2247	0.2233	0.3309	0.3219	0.3335	0.3357	0.4413	0.4463	0.6813	0.6902	0.8088	0.8117	
train losses     57:	0.5861	0.3165	0.2214	0.2196	0.3309	0.3219	0.3317	0.3325	0.44	0.4448	0.6842	0.6885	0.7295	0.7262	
train losses     58:	0.5833	0.315	0.2212	0.2207	0.3308	0.3218	0.331	0.336	0.4399	0.4449	0.6771	0.6834	0.7077	0.7084	
train losses     59:	0.5916	0.3146	0.2206	0.2199	0.3307	0.3217	0.3325	0.3369	0.4415	0.4461	0.6407	0.6536	0.7812	0.7797	
train losses     60:	0.5857	0.3138	0.219	0.2187	0.3306	0.3217	0.3294	0.3333	0.44	0.4447	0.6806	0.6845	0.6983	0.6982	

val losses       60:	0.5981	0.3127	0.2208	0.2162	0.3168	0.3076	0.3606	0.3641	0.4268	0.4411	1.394	1.402	1.497	1.484	 | 0.6673 mean
                     	1.439	0.8636	0.583	0.5995	0.8397	0.8224	0.9547	0.9628	1.185	1.182	3.904	3.854	3.854	3.829	 | 2.502 quantile
                      	3.948	2.946	2.15	2.626	2.866	3.01	2.339	2.498	2.892	2.878	7.989	7.912	7.373	7.431	 | 7.989 max

train losses     61:	0.5849	0.3148	0.2206	0.2195	0.3307	0.3217	0.3286	0.3306	0.4409	0.4462	0.6619	0.6703	0.7642	0.7647	
train losses     62:	0.5795	0.3141	0.2174	0.2166	0.3308	0.3219	0.3293	0.3321	0.4405	0.4452	0.6549	0.6642	0.6931	0.6929	
train losses     63:	0.588	0.3138	0.2204	0.2174	0.3307	0.3217	0.329	0.3308	0.4394	0.4443	0.6933	0.7	0.6496	0.6504	
train losses     64:	0.6026	0.3125	0.22	0.2189	0.3307	0.3217	0.3281	0.3328	0.44	0.4449	0.67	0.672	0.6625	0.6617	
train losses     65:	0.579	0.3131	0.2229	0.2222	0.3307	0.3218	0.3283	0.3319	0.44	0.445	0.6638	0.673	0.6719	0.6716	
train losses     66:	0.5716	0.3112	0.219	0.2194	0.3308	0.3219	0.3274	0.3318	0.4406	0.4453	0.6257	0.6288	0.6652	0.6629	
train losses     67:	0.5873	0.3107	0.2178	0.2159	0.3307	0.3217	0.3266	0.33	0.44	0.4449	0.6457	0.6497	0.6703	0.6721	
train losses     68:	0.577	0.3107	0.2181	0.2166	0.3306	0.3217	0.3272	0.3295	0.4392	0.4441	0.5994	0.6025	0.6389	0.6375	
train losses     69:	0.5942	0.3112	0.2211	0.2199	0.3307	0.3217	0.3281	0.3321	0.4409	0.4457	0.7225	0.7363	0.6806	0.6823	
train losses     70:	0.5777	0.3101	0.2189	0.2178	0.3306	0.3217	0.3279	0.3304	0.4403	0.4452	0.6338	0.6382	0.6564	0.659	

val losses       70:	0.5959	0.3071	0.2205	0.2147	0.3168	0.3073	0.3608	0.3645	0.4274	0.4423	1.457	1.464	1.556	1.539	 | 0.6838 mean
                     	1.44	0.8477	0.5853	0.5924	0.84	0.82	0.9457	0.9682	1.186	1.188	4.055	4.024	3.97	3.938	 | 2.586 quantile
                      	3.949	2.914	2.269	2.633	2.865	3.02	2.299	2.474	2.845	2.841	8.06	7.969	7.696	7.793	 | 8.06 max

train losses     71:	0.5825	0.3094	0.2176	0.2167	0.3305	0.3216	0.3254	0.3284	0.4406	0.4457	0.6231	0.6232	0.645	0.649	
train losses     72:	0.5795	0.3092	0.2182	0.2179	0.3306	0.3217	0.3269	0.33	0.4405	0.4451	0.6036	0.6078	0.626	0.6276	
train losses     73:	0.5827	0.3093	0.2195	0.2192	0.3306	0.3216	0.3268	0.3304	0.4395	0.4448	0.5698	0.5786	0.6066	0.6069	
train losses     74:	0.5895	0.3136	0.2222	0.2216	0.3306	0.3218	0.3323	0.3358	0.4468	0.4519	0.7001	0.7264	1.026	1.021	
train losses     75:	0.5942	0.3163	0.2252	0.2249	0.3307	0.3219	0.3352	0.3392	0.4409	0.4463	0.6262	0.6504	0.863	0.8619	
train losses     76:	0.5836	0.3137	0.2228	0.2232	0.3307	0.3217	0.3308	0.334	0.4405	0.4449	0.6476	0.6664	0.7449	0.7433	
train losses     77:	0.5961	0.3106	0.222	0.2198	0.3306	0.3217	0.3239	0.325	0.439	0.4442	0.599	0.6163	0.6483	0.645	
train losses     78:	0.5835	0.3095	0.2178	0.217	0.3306	0.3217	0.3237	0.3277	0.4396	0.4445	0.596	0.6098	0.6203	0.6203	
train losses     79:	0.5832	0.3089	0.2157	0.2132	0.3306	0.3217	0.3223	0.3251	0.4394	0.444	0.5622	0.58	0.593	0.5899	
train losses     80:	0.5765	0.3064	0.2174	0.2164	0.3306	0.3216	0.3251	0.3279	0.44	0.4449	0.5967	0.6101	0.5941	0.5936	

val losses       80:	0.6017	0.3063	0.2197	0.2142	0.3167	0.3074	0.3598	0.3619	0.4262	0.4413	1.442	1.443	1.504	1.491	 | 0.6739 mean
                     	1.456	0.8468	0.584	0.5882	0.8395	0.8192	0.9421	0.9578	1.184	1.174	4.053	4.018	3.853	3.84	 | 2.51 quantile
                      	4.016	2.926	2.247	2.635	2.862	3.025	2.361	2.429	2.874	2.876	9.132	9.077	7.659	7.705	 | 9.132 max

train losses     81:	0.586	0.3085	0.2183	0.2155	0.3306	0.3216	0.3242	0.3267	0.4401	0.445	0.6331	0.6445	0.5832	0.5865	
train losses     82:	0.5781	0.3078	0.218	0.2168	0.3306	0.3218	0.3242	0.3281	0.4397	0.4447	0.5604	0.5731	0.5396	0.5386	
train losses     83:	0.5801	0.3059	0.2178	0.2173	0.3305	0.3216	0.3199	0.323	0.4394	0.4444	0.555	0.561	0.5382	0.5412	
train losses     84:	0.5882	0.3069	0.217	0.2151	0.3305	0.3216	0.3228	0.3251	0.4392	0.4442	0.601	0.6111	0.5359	0.5372	
train losses     85:	0.578	0.3077	0.2168	0.2164	0.3306	0.3216	0.325	0.3262	0.4395	0.4447	0.7701	0.7806	0.5684	0.5683	
train losses     86:	0.5855	0.3078	0.2159	0.2162	0.3306	0.3217	0.3244	0.3258	0.4402	0.4455	0.771	0.7784	0.6092	0.6098	
train losses     87:	0.5856	0.3065	0.2201	0.2179	0.3305	0.3217	0.3264	0.3274	0.4415	0.4465	0.6128	0.6238	0.6896	0.6878	
train losses     88:	0.5868	0.3054	0.2152	0.2151	0.3304	0.3216	0.3223	0.3261	0.4406	0.4455	0.6574	0.6668	0.6772	0.6803	
train losses     89:	0.586	0.3067	0.2164	0.2148	0.3305	0.3217	0.3198	0.321	0.4404	0.4454	0.6817	0.6855	0.6303	0.6297	
train losses     90:	0.5799	0.3069	0.216	0.214	0.3306	0.3217	0.3204	0.3204	0.4403	0.445	0.6028	0.6004	0.5622	0.5651	

val losses       90:	0.5929	0.3055	0.2198	0.2155	0.3166	0.3073	0.3597	0.3636	0.4271	0.4413	1.467	1.476	1.524	1.512	 | 0.6805 mean
                     	1.433	0.8415	0.5877	0.5963	0.8407	0.819	0.9441	0.962	1.187	1.18	4.151	4.082	3.964	3.922	 | 2.556 quantile
                      	3.972	3.008	2.162	2.482	2.882	3.012	2.33	2.465	2.879	2.877	9.026	8.943	7.285	7.271	 | 9.026 max

train losses     91:	0.5854	0.307	0.2169	0.2155	0.3305	0.3216	0.322	0.3221	0.4402	0.445	0.6322	0.6368	0.5619	0.5615	
train losses     92:	0.5829	0.3064	0.2157	0.2151	0.3305	0.3217	0.3196	0.3208	0.4404	0.4452	0.5618	0.5718	0.5753	0.5748	
train losses     93:	0.583	0.3053	0.2151	0.2158	0.3305	0.3216	0.3202	0.321	0.4404	0.4452	0.5445	0.5582	0.5462	0.5436	
train losses     94:	0.583	0.3052	0.2166	0.2157	0.3305	0.3216	0.3194	0.322	0.4405	0.4458	0.5535	0.5637	0.5898	0.5923	
train losses     95:	0.5767	0.3048	0.2133	0.2129	0.3304	0.3216	0.3171	0.3194	0.44	0.4449	0.5662	0.577	0.5219	0.5209	
train losses     96:	0.5845	0.3048	0.2135	0.2146	0.3304	0.3215	0.3196	0.3225	0.4402	0.4451	0.5979	0.6108	0.5527	0.5524	
train losses     97:	0.592	0.3059	0.2161	0.2142	0.3304	0.3215	0.3229	0.3241	0.4408	0.4454	0.7678	0.7834	0.614	0.6084	
train losses     98:	0.5851	0.3056	0.216	0.2152	0.3305	0.3216	0.3193	0.3212	0.4401	0.4452	0.7292	0.7465	0.578	0.5774	
train losses     99:	0.5808	0.3055	0.2159	0.2166	0.3304	0.3216	0.3207	0.3242	0.4401	0.4451	0.5755	0.595	0.5617	0.5632	
train losses    100:	0.5746	0.3036	0.2132	0.2115	0.3306	0.3216	0.3177	0.3197	0.4402	0.4453	0.5484	0.5613	0.5164	0.5184	

val losses      100:	0.593	0.3064	0.2185	0.2136	0.3166	0.3073	0.357	0.3596	0.4256	0.4404	1.444	1.456	1.529	1.512	 | 0.6771 mean
                     	1.425	0.8479	0.5782	0.5777	0.8395	0.8206	0.9453	0.954	1.183	1.183	4.036	3.878	3.924	3.926	 | 2.534 quantile
                      	3.88	2.946	2.137	2.616	2.865	3.023	2.342	2.466	2.857	2.859	7.867	7.781	7.533	7.59	 | 7.867 max

train losses    101:	0.5763	0.3056	0.2154	0.2159	0.3304	0.3215	0.3193	0.3223	0.4401	0.4452	0.5893	0.6059	0.5059	0.5087	
train losses    102:	0.5785	0.304	0.2124	0.2105	0.3304	0.3216	0.3181	0.3191	0.4406	0.4454	0.5795	0.5885	0.5323	0.5331	
train losses    103:	0.588	0.3032	0.2145	0.2119	0.3304	0.3215	0.3157	0.318	0.4404	0.4453	0.5774	0.5904	0.5609	0.5609	
train losses    104:	0.5732	0.3034	0.2139	0.2119	0.3305	0.3216	0.3186	0.319	0.4412	0.4459	0.6019	0.6109	0.5945	0.5924	
train losses    105:	0.5805	0.3038	0.2135	0.2115	0.3304	0.3215	0.3157	0.3179	0.4399	0.4454	0.5832	0.5868	0.5905	0.5935	
train losses    106:	0.5775	0.3042	0.2136	0.2117	0.3304	0.3216	0.3164	0.3194	0.4406	0.4455	0.5642	0.5711	0.5465	0.5528	
train losses    107:	0.5847	0.3047	0.2156	0.2138	0.3304	0.3216	0.3186	0.3193	0.4399	0.4451	0.5316	0.5442	0.4838	0.4863	
train losses    108:	0.5777	0.303	0.213	0.21	0.3305	0.3216	0.3145	0.3144	0.44	0.4451	0.5621	0.5772	0.4664	0.4681	
train losses    109:	0.5805	0.3019	0.2151	0.2129	0.3305	0.3216	0.3155	0.3155	0.441	0.4459	0.5118	0.5244	0.4974	0.4945	
train losses    110:	0.5796	0.3023	0.2114	0.2108	0.3305	0.3216	0.3147	0.316	0.4404	0.4453	0.5237	0.5326	0.5015	0.5026	

val losses      110:	0.5933	0.3019	0.2158	0.2114	0.3166	0.3073	0.3543	0.3585	0.4263	0.4409	1.443	1.452	1.52	1.505	 | 0.6747 mean
                     	1.418	0.8324	0.5757	0.5801	0.8404	0.8207	0.9224	0.9549	1.186	1.186	4.033	3.957	3.963	3.933	 | 2.536 quantile
                      	3.809	2.928	2.207	2.654	2.882	3.015	2.322	2.512	2.926	2.926	8.114	8.016	7.482	7.524	 | 8.114 max

train losses    111:	0.5804	0.3025	0.2108	0.2102	0.3304	0.3215	0.3151	0.3166	0.4402	0.4452	0.5308	0.5405	0.4867	0.4899	
train losses    112:	0.5736	0.3018	0.2152	0.2119	0.3304	0.3215	0.3155	0.3169	0.4403	0.4452	0.4974	0.508	0.481	0.4795	
train losses    113:	0.577	0.3019	0.2089	0.2083	0.3304	0.3215	0.3128	0.3135	0.4401	0.4452	0.5587	0.5555	0.4894	0.4921	
train losses    114:	0.5741	0.3032	0.2118	0.2101	0.3305	0.3216	0.3162	0.3182	0.4406	0.4455	0.5163	0.5204	0.4854	0.4893	
train losses    115:	0.5736	0.3029	0.2119	0.2129	0.3305	0.3216	0.3159	0.317	0.44	0.4452	0.5248	0.5273	0.4986	0.4997	
train losses    116:	0.5681	0.3028	0.2138	0.2127	0.3304	0.3216	0.3155	0.316	0.4403	0.4452	0.5875	0.5893	0.4955	0.5022	
train losses    117:	0.5824	0.3028	0.2092	0.2086	0.3304	0.3215	0.3124	0.3147	0.4401	0.4451	0.6123	0.6125	0.4685	0.4716	
train losses    118:	0.5792	0.302	0.2115	0.211	0.3302	0.3214	0.3131	0.3161	0.4405	0.4455	0.5772	0.5911	0.5158	0.516	
train losses    119:	0.5813	0.3022	0.2129	0.2114	0.3305	0.3216	0.3149	0.3171	0.4412	0.4461	0.6071	0.6279	0.6292	0.6263	
train losses    120:	0.5736	0.3032	0.2117	0.2111	0.3303	0.3215	0.3181	0.3196	0.4404	0.4456	0.7594	0.7685	0.5755	0.5749	

val losses      120:	0.5868	0.302	0.2178	0.213	0.3167	0.3075	0.3581	0.3586	0.4266	0.4406	1.556	1.562	1.548	1.531	 | 0.6946 mean
                     	1.413	0.839	0.5834	0.5823	0.8416	0.8199	0.9395	0.944	1.192	1.192	4.173	4.099	4.103	4.072	 | 2.642 quantile
                      	3.838	2.981	2.158	2.654	2.861	3.042	2.443	2.685	2.948	2.957	8.853	9.06	7.889	7.986	 | 9.06 max

train losses    121:	0.5891	0.3039	0.2147	0.2137	0.3304	0.3215	0.3151	0.3165	0.4407	0.4454	0.6728	0.6836	0.5401	0.5428	
train losses    122:	0.5782	0.3037	0.2133	0.212	0.3305	0.3216	0.3157	0.316	0.4412	0.4458	0.5378	0.553	0.6056	0.6069	
train losses    123:	0.5825	0.3022	0.2102	0.2088	0.3304	0.3216	0.315	0.3172	0.4424	0.4474	0.5516	0.5543	0.7851	0.786	
train losses    124:	0.5783	0.3033	0.2144	0.2138	0.3303	0.3214	0.3169	0.3215	0.4416	0.4464	0.5441	0.5435	0.751	0.7537	
train losses    125:	0.5882	0.3018	0.2121	0.2111	0.3304	0.3216	0.3148	0.3166	0.4399	0.4451	0.5108	0.5187	0.5223	0.5247	
train losses    126:	0.5772	0.302	0.2094	0.2092	0.3303	0.3215	0.31	0.3128	0.4393	0.4442	0.4881	0.4925	0.4854	0.4863	
train losses    127:	0.5854	0.3029	0.2138	0.213	0.3305	0.3216	0.3144	0.3173	0.4404	0.4456	0.5534	0.5564	0.5225	0.5253	
train losses    128:	0.5762	0.3008	0.2101	0.2091	0.3304	0.3215	0.3126	0.3133	0.4408	0.4457	0.6102	0.614	0.5755	0.5765	
train losses    129:	0.5978	0.3022	0.2115	0.2098	0.3304	0.3215	0.3134	0.3128	0.4403	0.4457	0.5799	0.5849	0.5375	0.5355	
train losses    130:	0.5855	0.3029	0.2097	0.2096	0.3304	0.3215	0.3112	0.3139	0.4407	0.4457	0.581	0.5929	0.5429	0.5422	

val losses      130:	0.5925	0.303	0.2166	0.2141	0.3167	0.3076	0.3551	0.3599	0.4259	0.4405	1.469	1.484	1.535	1.521	 | 0.6815 mean
                     	1.431	0.8376	0.5768	0.588	0.8392	0.8184	0.9349	0.9484	1.186	1.188	3.988	3.893	4.0	3.977	 | 2.591 quantile
                      	3.938	3.01	2.047	2.436	2.86	3.032	2.238	2.42	2.885	2.892	8.111	8.081	7.201	7.134	 | 8.111 max

train losses    131:	0.5872	0.3018	0.2133	0.2122	0.3304	0.3215	0.3154	0.3154	0.4403	0.4453	0.5201	0.5279	0.4964	0.4962	
train losses    132:	0.573	0.3009	0.2105	0.2111	0.3303	0.3215	0.3108	0.3142	0.4418	0.4468	0.5041	0.5173	0.6295	0.6285	
train losses    133:	0.5802	0.3035	0.2138	0.213	0.3304	0.3216	0.3168	0.3186	0.4411	0.446	0.5141	0.5272	0.6452	0.6436	
train losses    134:	0.5799	0.3018	0.2106	0.2103	0.3304	0.3216	0.312	0.3132	0.4401	0.4454	0.5068	0.5086	0.5684	0.5668	
train losses    135:	0.5783	0.3013	0.2104	0.2104	0.3302	0.3214	0.3106	0.3133	0.4394	0.4444	0.4883	0.5007	0.4863	0.4904	
train losses    136:	0.5856	0.3012	0.2106	0.2109	0.3302	0.3214	0.3138	0.3164	0.4404	0.4451	0.5514	0.5677	0.5409	0.538	
