train losses      0:	1.225	0.5376	0.5519	0.5708	0.3468	0.3369	0.7003	0.7452	0.4703	0.4708	1.609	1.623	1.49	1.477	

val losses        0:	0.688	0.5437	0.5886	0.5803	0.3644	0.3291	0.7003	0.737	0.432	0.4252	1.309	1.363	1.401	1.364	 | 0.7732 mean
                     	1.615	1.498	1.833	1.822	0.9312	0.8491	2.067	2.263	1.155	1.161	3.684	3.876	4.29	4.161	 | 2.567 quantile
                      	4.253	4.636	7.324	7.718	3.123	3.091	6.3	6.895	4.2	3.812	7.967	8.07	7.51	7.139	 | 8.07 max

train losses      1:	0.6964	0.5345	0.5188	0.5479	0.3408	0.3291	0.6892	0.7357	0.4622	0.4704	1.605	1.616	1.479	1.477	
train losses      2:	0.6759	0.5294	0.478	0.5038	0.3379	0.3313	0.6418	0.6949	0.4605	0.4715	1.573	1.58	1.472	1.474	
train losses      3:	0.6705	0.5322	0.4368	0.4502	0.3373	0.3308	0.5718	0.6003	0.4613	0.4744	1.468	1.47	1.462	1.468	
train losses      4:	0.6596	0.5202	0.3919	0.3947	0.3349	0.3359	0.5671	0.5796	0.4634	0.4719	1.334	1.342	1.441	1.445	
train losses      5:	0.6562	0.5206	0.3659	0.369	0.3342	0.3398	0.5575	0.5732	0.4607	0.4732	1.282	1.295	1.398	1.401	
train losses      6:	0.6278	0.5313	0.3286	0.3475	0.3326	0.3404	0.527	0.5344	0.4543	0.4669	1.244	1.258	1.343	1.343	
train losses      7:	0.6403	0.5262	0.3028	0.3103	0.3319	0.3297	0.4754	0.4789	0.4506	0.4595	1.245	1.256	1.315	1.311	
train losses      8:	0.6462	0.5179	0.2936	0.2906	0.3317	0.326	0.4299	0.4387	0.4483	0.4569	1.233	1.244	1.278	1.273	
train losses      9:	0.6263	0.5134	0.2895	0.2752	0.3315	0.3251	0.411	0.417	0.4493	0.4569	1.206	1.218	1.268	1.266	
train losses     10:	0.6246	0.5106	0.2853	0.2701	0.3314	0.3245	0.395	0.4035	0.4453	0.4543	1.166	1.182	1.246	1.241	

val losses       10:	0.5963	0.5223	0.2881	0.2578	0.329	0.3206	0.3735	0.3887	0.4056	0.4099	1.065	1.123	1.31	1.297	 | 0.6205 mean
                     	1.451	1.449	0.8081	0.6975	0.855	0.8352	0.9868	1.029	1.064	1.082	2.741	3.03	3.615	3.578	 | 2.102 quantile
                      	3.627	4.4	3.028	2.504	2.971	2.972	2.939	3.277	3.661	3.713	6.119	6.353	6.502	6.331	 | 6.502 max

train losses     11:	0.628	0.5064	0.2826	0.2634	0.3312	0.3243	0.3956	0.4021	0.4446	0.453	1.182	1.191	1.225	1.219	
train losses     12:	0.6384	0.5024	0.2785	0.2533	0.331	0.3241	0.3902	0.3949	0.445	0.4534	1.155	1.168	1.226	1.222	
train losses     13:	0.6161	0.4978	0.2774	0.2522	0.3307	0.3239	0.385	0.3912	0.4439	0.4525	1.149	1.16	1.205	1.2	
train losses     14:	0.6151	0.4925	0.2762	0.2518	0.3307	0.3236	0.3823	0.3878	0.4434	0.4519	1.134	1.144	1.192	1.187	
train losses     15:	0.6159	0.4862	0.2733	0.2473	0.3305	0.3233	0.378	0.3847	0.4426	0.4513	1.124	1.135	1.167	1.164	
train losses     16:	0.6128	0.477	0.2716	0.2443	0.3303	0.3231	0.3771	0.3835	0.4428	0.4514	1.114	1.125	1.151	1.146	
train losses     17:	0.6172	0.4673	0.2662	0.2429	0.33	0.3225	0.3729	0.3784	0.442	0.4505	1.082	1.094	1.14	1.136	
train losses     18:	0.6058	0.4546	0.2648	0.238	0.3299	0.3224	0.3758	0.381	0.4433	0.4515	1.109	1.123	1.139	1.137	
train losses     19:	0.6006	0.4405	0.2589	0.2344	0.3297	0.3221	0.3714	0.3766	0.4429	0.4512	1.081	1.092	1.118	1.116	
train losses     20:	0.6048	0.4253	0.2559	0.2348	0.3295	0.3217	0.3729	0.379	0.4426	0.4507	1.076	1.084	1.103	1.101	

val losses       20:	0.5604	0.4287	0.2626	0.2393	0.3287	0.3187	0.3562	0.3664	0.4087	0.4106	1.114	1.169	1.319	1.308	 | 0.6136 mean
                     	1.398	1.179	0.7344	0.6446	0.8487	0.8309	0.9432	0.9586	1.072	1.093	2.779	3.106	3.547	3.58	 | 2.124 quantile
                      	3.72	3.671	2.692	2.957	2.945	2.971	2.801	3.073	3.789	3.794	5.93	6.5	7.493	7.333	 | 7.493 max

train losses     21:	0.6115	0.4097	0.2513	0.2333	0.3293	0.3214	0.3751	0.3818	0.443	0.4515	1.118	1.127	1.088	1.087	
train losses     22:	0.6024	0.3958	0.2468	0.2325	0.3291	0.3212	0.3673	0.3729	0.442	0.4502	1.03	1.043	1.082	1.08	
train losses     23:	0.6066	0.3845	0.2433	0.2284	0.329	0.3209	0.3656	0.3716	0.4426	0.4503	1.016	1.026	1.076	1.075	
train losses     24:	0.6054	0.3743	0.2385	0.2263	0.3289	0.3207	0.3662	0.3725	0.443	0.4509	1.028	1.035	1.081	1.082	
train losses     25:	0.5849	0.3678	0.2384	0.2272	0.3289	0.3207	0.364	0.3698	0.4422	0.4508	0.9866	0.9979	1.065	1.061	
train losses     26:	0.6126	0.3612	0.2359	0.2273	0.3287	0.3204	0.3614	0.3694	0.4422	0.4502	0.9654	0.9779	1.049	1.048	
train losses     27:	0.6102	0.3567	0.235	0.2268	0.3286	0.3203	0.3605	0.3658	0.4435	0.4518	0.9607	0.9682	1.05	1.049	
train losses     28:	0.6008	0.3515	0.2303	0.2226	0.3286	0.3203	0.3584	0.3643	0.4434	0.4512	0.9492	0.9565	1.041	1.038	
train losses     29:	0.6037	0.3486	0.2284	0.2234	0.3284	0.3201	0.3595	0.365	0.4436	0.451	0.9474	0.9508	1.037	1.034	
train losses     30:	0.6023	0.3438	0.23	0.2223	0.3284	0.32	0.3576	0.3639	0.442	0.4501	0.9545	0.958	0.9806	0.9791	

val losses       30:	0.5639	0.3482	0.2396	0.2314	0.329	0.3184	0.3478	0.3547	0.4086	0.4107	1.138	1.195	1.35	1.338	 | 0.6124 mean
                     	1.391	0.9575	0.6601	0.6238	0.8502	0.8351	0.9234	0.914	1.076	1.091	2.838	3.07	3.632	3.632	 | 2.154 quantile
                      	3.683	2.804	2.325	3.009	2.916	2.992	2.563	2.952	3.651	3.641	7.17	6.883	7.332	7.216	 | 7.332 max

