train losses      0:	0.5376	0.5577	0.3378	 0.332	0.6812	0.7287	 0.469	0.4692	 1.502	 1.515	 1.421	 1.426	
val losses        0:	0.4664	0.5223	0.3416	0.3366	 0.635	0.6657	0.4544	0.4462	 1.461	 1.474	 1.513	 1.507	 | 0.8186 mean
                     	  1.43	 1.517	0.8973	0.8963	 1.895	 1.961	  1.24	 1.216	 4.309	 4.356	 4.309	 4.294	 | 2.862 quantile
                      	 6.692	 7.234	 3.057	 2.943	 7.083	 6.646	 3.254	 3.121	 13.57	 12.51	 9.586	 9.562	 | 13.57 max

train losses      5:	0.2714	0.2729	0.3375	0.3263	0.3842	0.3822	0.4374	0.4349	0.6662	0.6583	 1.069	 1.066	
val losses        5:	0.2609	 0.273	0.3397	0.3257	0.4158	 0.418	0.4154	0.4132	0.7773	0.7786	 1.249	 1.245	 | 0.576 mean
                     	0.6997	0.7338	0.8929	0.8504	 1.112	  1.08	 1.111	 1.114	 2.118	 2.093	 3.386	 3.364	 | 1.901 quantile
                      	 10.62	 10.58	 3.112	 2.962	 12.96	 12.48	 3.316	 2.758	  15.9	 16.22	 6.239	 6.149	 | 16.22 max

train losses     10:	0.2273	0.2243	0.3237	0.3078	0.3038	0.3005	0.3776	0.3735	0.5644	0.5568	0.7502	0.7546	
val losses       10:	0.2347	0.2347	0.3329	0.3193	0.3805	0.3809	0.3717	0.3714	0.7789	0.7749	 1.325	 1.319	 | 0.5687 mean
                     	0.6203	0.6105	0.8705	0.8294	0.9938	0.9712	0.9993	0.9912	 2.078	 2.056	 3.463	 3.424	 | 1.945 quantile
                      	 12.62	  14.0	 3.083	 3.005	 17.66	 16.87	 3.232	 3.711	 15.38	 16.63	 7.627	 7.236	 | 17.66 max

train losses     15:	0.2246	 0.216	0.3156	0.3012	0.2788	 0.275	0.3389	0.3381	0.6677	0.6555	0.9107	0.9055	
val losses       15:	0.2303	0.2295	 0.331	 0.318	0.3993	0.4067	0.3577	0.3594	0.9381	0.9478	 1.319	 1.317	 | 0.5961 mean
                     	0.6051	0.5946	0.8558	0.8336	 1.035	  1.02	0.9378	0.9431	 2.425	 2.389	   3.6	 3.577	 | 2.044 quantile
                      	 14.25	 16.02	 2.771	 2.999	 21.71	 20.99	 4.895	 4.421	 19.31	 21.64	 8.937	 8.736	 | 21.71 max

train losses     20:	0.2273	0.2262	0.3067	0.2923	 0.323	0.3328	0.3105	 0.313	 0.473	0.4682	0.9466	0.9311	
val losses       20:	0.2676	0.2616	0.3303	0.3174	0.4462	0.4674	0.3564	0.3732	0.8388	0.8612	 1.262	  1.26	 | 0.5869 mean
                     	 0.694	0.6836	0.8617	0.8272	 1.128	 1.113	0.9317	0.9751	 2.249	 2.183	 3.498	 3.479	 | 1.945 quantile
                      	 16.68	 18.67	   3.1	 3.299	 22.12	  21.2	 5.298	  4.47	 19.16	 22.01	  6.43	 6.528	 | 22.12 max

train losses     25:	0.2021	0.2005	0.2968	0.2809	0.2567	0.2506	0.2863	0.2814	0.4931	0.4844	0.5709	0.5656	
val losses       25:	0.2225	0.2297	0.3294	0.3166	0.3744	0.3773	0.3624	0.3601	0.7848	0.7921	  1.32	 1.321	 | 0.5659 mean
                     	0.5737	 0.571	0.8589	0.8251	 0.943	 0.928	0.9296	 0.925	 2.036	 2.025	 3.388	 3.379	 | 1.969 quantile
                      	 18.36	  21.3	 4.154	 4.332	 27.07	 26.01	 6.252	 5.854	 19.89	  23.1	 9.198	 8.959	 | 27.07 max

train losses     30:	0.2005	0.1951	0.2888	0.2744	0.2479	0.2389	0.2777	0.2742	0.4945	0.4679	0.6897	0.6921	
val losses       30:	0.2376	0.2347	 0.332	0.3221	0.3907	0.4046	0.3835	0.3924	0.9188	0.9373	 1.265	 1.266	 | 0.5903 mean
                     	0.5967	0.5798	0.8605	0.8335	0.9818	0.9819	0.9841	 1.021	 2.613	 2.578	 3.405	 3.409	 | 2.015 quantile
                      	 18.94	 22.23	 5.367	 4.481	 28.96	 28.04	 7.666	 7.593	 18.17	 21.45	 10.92	 10.97	 | 28.96 max

train losses     35:	0.2016	0.1985	0.2832	0.2676	0.2302	0.2235	0.2822	0.2775	0.4077	0.3928	0.4383	 0.439	
val losses       35:	0.2312	0.2213	0.3372	0.3245	 0.391	0.3873	0.4227	0.4145	0.8409	0.8445	 1.216	  1.21	 | 0.57 mean
                     	0.5825	0.5536	0.8609	0.8422	0.9563	0.8999	 1.052	 1.051	 2.256	 2.116	 3.206	   3.2	 | 1.892 quantile
                      	 19.67	 23.03	 6.186	  5.34	 31.85	 31.04	 7.977	 7.735	 21.18	 24.77	 13.13	 12.91	 | 31.85 max

train losses     40:	0.1882	 0.184	0.2707	0.2541	0.2364	0.2291	0.2379	0.2309	0.3938	0.3917	0.5467	0.5563	
val losses       40:	0.2311	0.2215	0.3398	0.3281	 0.385	0.3865	0.3902	0.3859	0.7853	0.7916	 1.252	 1.251	 | 0.5623 mean
                     	0.5853	 0.553	0.8733	0.8414	0.9361	0.8927	 1.006	0.9968	 2.116	 2.043	 3.262	 3.308	 | 1.883 quantile
                      	 20.86	 23.94	 7.369	 6.411	 32.97	 32.47	 9.561	 9.061	 21.38	 25.15	  13.7	 13.74	 | 32.97 max

train losses     45:	0.1832	0.1789	0.2644	0.2484	0.2275	 0.221	0.2412	0.2345	0.4427	0.4581	0.3376	0.3484	
val losses       45:	0.2229	0.2194	0.3352	 0.328	0.3983	0.4029	 0.383	0.3813	0.9214	 0.929	  1.28	 1.279	 | 0.59 mean
