train losses      0:	1.374	0.5379	0.5642	0.5905	0.3405	0.3258	0.708	0.7477	0.4604	0.4677	1.563	1.577	1.447	1.451	

val losses        0:	0.92	0.5366	0.521	0.5581	0.3389	0.3276	0.7115	0.7501	0.4424	0.4535	1.622	1.633	1.539	1.529	 | 0.8488 mean
                     	2.036	1.506	1.635	1.735	0.8938	0.8698	2.13	2.212	1.232	1.241	4.829	4.834	4.338	4.271	 | 2.839 quantile
                      	5.958	5.775	7.234	7.656	2.904	3.04	8.021	7.276	3.062	3.071	14.26	13.57	9.905	9.929	 | 14.26 max

train losses      1:	0.7718	0.5361	0.5476	0.572	0.334	0.3252	0.7069	0.7469	0.4604	0.4675	1.561	1.577	1.45	1.457	
train losses      2:	0.7075	0.5335	0.5208	0.5451	0.3329	0.3252	0.7051	0.7449	0.4607	0.4679	1.56	1.575	1.447	1.45	
train losses      3:	0.6976	0.5312	0.4868	0.5037	0.3331	0.3251	0.7029	0.742	0.4613	0.468	1.557	1.573	1.446	1.45	
train losses      4:	0.687	0.5273	0.4498	0.4547	0.3333	0.3247	0.697	0.7359	0.4614	0.4677	1.553	1.569	1.448	1.452	
train losses      5:	0.6743	0.5227	0.4194	0.4125	0.3334	0.3244	0.688	0.7255	0.4612	0.4675	1.543	1.56	1.45	1.451	
train losses      6:	0.6697	0.5178	0.4	0.3908	0.3334	0.3243	0.6748	0.7128	0.4612	0.4675	1.53	1.547	1.448	1.451	
train losses      7:	0.6611	0.5109	0.3939	0.3823	0.3325	0.3231	0.6666	0.7033	0.4599	0.4672	1.519	1.534	1.448	1.453	
train losses      8:	0.6734	0.5033	0.3822	0.3722	0.3317	0.322	0.6572	0.6954	0.459	0.4659	1.511	1.526	1.446	1.451	
train losses      9:	0.6525	0.4935	0.3765	0.367	0.3313	0.3212	0.6527	0.6897	0.4585	0.4653	1.511	1.526	1.448	1.451	
train losses     10:	0.6479	0.4847	0.3713	0.3633	0.3305	0.3207	0.6468	0.6836	0.4581	0.4651	1.507	1.52	1.446	1.45	

val losses       10:	0.62	0.4782	0.3523	0.3563	0.3316	0.3227	0.6558	0.6879	0.4412	0.4513	1.566	1.572	1.529	1.512	 | 0.7769 mean
                     	1.525	1.333	0.9421	0.9639	0.8734	0.8516	1.912	1.975	1.228	1.235	4.647	4.609	4.363	4.3	 | 2.708 quantile
                      	6.927	4.939	3.27	3.772	3.048	3.121	7.468	6.846	3.036	3.094	15.08	14.46	9.843	9.661	 | 15.08 max

train losses     11:	0.6395	0.4777	0.3668	0.3615	0.3301	0.3206	0.6431	0.6805	0.458	0.4647	1.502	1.516	1.446	1.45	
train losses     12:	0.6463	0.4711	0.3591	0.3561	0.3295	0.3204	0.6393	0.6772	0.4579	0.4644	1.502	1.516	1.447	1.45	
train losses     13:	0.6422	0.4662	0.3558	0.3522	0.329	0.3203	0.6369	0.6744	0.4577	0.4638	1.502	1.516	1.445	1.449	
train losses     14:	0.6481	0.4626	0.3537	0.3526	0.3287	0.3205	0.6348	0.6716	0.4581	0.4636	1.498	1.512	1.446	1.449	
train losses     15:	0.6391	0.4586	0.349	0.3476	0.3284	0.3204	0.633	0.6699	0.4577	0.4633	1.498	1.511	1.445	1.449	
