train losses      0:	1.129	0.5418	0.5519	0.5741	0.3429	0.3307	0.7051	0.7456	0.4601	0.47	1.558	1.574	1.447	1.446	

val losses        0:	0.693	0.5203	0.4991	0.5592	0.3314	0.3197	0.6888	0.7382	0.4348	0.4482	1.614	1.637	1.571	1.545	 | 0.8286 mean
                     	1.791	1.449	1.618	1.821	0.8766	0.8488	2.043	2.228	1.243	1.248	4.845	4.877	4.291	4.207	 | 2.837 quantile
                      	4.778	5.672	7.13	7.001	2.882	2.964	7.389	7.177	3.087	3.205	12.82	12.88	8.917	8.766	 | 12.88 max

train losses      1:	0.6779	0.5347	0.5276	0.539	0.3449	0.3303	0.6934	0.718	0.4586	0.4636	1.547	1.557	1.443	1.438	
train losses      2:	0.6535	0.5187	0.4757	0.4967	0.3504	0.3322	0.6285	0.6317	0.4538	0.4588	1.488	1.48	1.417	1.408	
train losses      3:	0.657	0.5047	0.408	0.4543	0.3526	0.3381	0.5019	0.505	0.4495	0.4601	1.346	1.334	1.374	1.352	
train losses      4:	0.6393	0.4901	0.359	0.368	0.3492	0.3355	0.4384	0.4521	0.4463	0.4626	1.244	1.247	1.313	1.297	
train losses      5:	0.6508	0.467	0.3255	0.3114	0.3409	0.3313	0.4144	0.4218	0.4444	0.4581	1.198	1.216	1.275	1.271	
train losses      6:	0.6327	0.4413	0.3001	0.2853	0.3388	0.3291	0.3975	0.4086	0.4401	0.4506	1.17	1.187	1.242	1.241	
train losses      7:	0.6224	0.4168	0.2812	0.2686	0.3387	0.3284	0.391	0.3984	0.4389	0.4477	1.154	1.173	1.225	1.225	
train losses      8:	0.6172	0.3986	0.2678	0.261	0.3388	0.3283	0.3815	0.3897	0.4384	0.4474	1.119	1.137	1.205	1.204	
train losses      9:	0.6196	0.3819	0.2584	0.2529	0.3378	0.3269	0.3755	0.3818	0.4357	0.4448	1.092	1.111	1.193	1.195	
train losses     10:	0.6037	0.3713	0.2515	0.2481	0.337	0.326	0.3686	0.3757	0.4345	0.444	1.065	1.082	1.176	1.176	

val losses       10:	0.6045	0.3542	0.2426	0.2402	0.3235	0.3112	0.3894	0.3916	0.419	0.4359	1.318	1.336	1.435	1.426	 | 0.659 mean
                     	1.489	0.9754	0.6527	0.6633	0.8596	0.8201	1.034	1.041	1.159	1.175	3.812	3.71	3.778	3.789	 | 2.391 quantile
                      	4.124	2.996	2.138	2.465	3.212	3.002	2.675	2.548	2.891	2.899	8.005	7.999	6.511	6.39	 | 8.005 max

train losses     11:	0.6082	0.3656	0.2494	0.2465	0.3371	0.3254	0.3692	0.3745	0.4325	0.4398	1.064	1.084	1.143	1.147	
train losses     12:	0.5969	0.3618	0.2455	0.2436	0.3363	0.325	0.3638	0.3685	0.4306	0.4393	1.029	1.046	1.137	1.136	
train losses     13:	0.5886	0.3548	0.2401	0.2364	0.3357	0.3243	0.3626	0.3663	0.4299	0.438	0.9974	1.015	1.136	1.136	
train losses     14:	0.5868	0.3528	0.2402	0.2398	0.3356	0.3241	0.3602	0.3647	0.4286	0.437	1.007	1.021	1.113	1.117	
train losses     15:	0.6014	0.3484	0.2381	0.236	0.3352	0.3241	0.3629	0.3657	0.4239	0.4337	0.9862	1.001	1.074	1.076	
train losses     16:	0.5844	0.3453	0.2397	0.2383	0.3344	0.3234	0.3585	0.3606	0.4229	0.4305	0.9518	0.9667	1.066	1.069	
train losses     17:	0.6029	0.3427	0.237	0.234	0.3343	0.3238	0.3548	0.3571	0.4212	0.4288	0.937	0.9568	1.054	1.056	
train losses     18:	0.5916	0.3399	0.2346	0.2328	0.3339	0.3227	0.3511	0.3529	0.4178	0.4271	0.9071	0.9196	1.01	1.01	
train losses     19:	0.5934	0.3394	0.2342	0.2328	0.3337	0.3224	0.3494	0.3542	0.4158	0.4244	0.9112	0.9273	1.016	1.02	
train losses     20:	0.5889	0.3356	0.2341	0.231	0.3334	0.3223	0.3474	0.3504	0.4146	0.4218	0.8657	0.8852	1.013	1.015	

val losses       20:	0.5959	0.331	0.2326	0.2334	0.32	0.3075	0.3812	0.3836	0.4024	0.416	1.367	1.374	1.499	1.487	 | 0.6665 mean
                     	1.44	0.8981	0.625	0.6267	0.8427	0.8146	0.9999	1.017	1.101	1.114	3.931	3.823	3.822	3.79	 | 2.445 quantile
                      	3.983	2.651	2.074	2.413	3.175	2.929	2.572	2.737	2.629	2.693	7.97	7.885	7.316	7.136	 | 7.97 max

train losses     21:	0.5806	0.3332	0.2316	0.2294	0.3328	0.3215	0.3497	0.3517	0.4107	0.418	0.8463	0.8662	0.9742	0.9763	
train losses     22:	0.5821	0.3316	0.2312	0.2301	0.3326	0.3214	0.3472	0.3491	0.4077	0.4143	0.8513	0.8635	0.9491	0.9505	
train losses     23:	0.5834	0.3303	0.2307	0.2271	0.3323	0.3212	0.343	0.3452	0.405	0.4127	0.8066	0.8192	0.9545	0.9561	
train losses     24:	0.5839	0.3295	0.2316	0.2299	0.3318	0.321	0.345	0.347	0.4021	0.4086	0.8361	0.851	0.9244	0.9307	
train losses     25:	0.5902	0.3299	0.2306	0.2276	0.3317	0.3207	0.3433	0.3476	0.3988	0.406	0.8392	0.8591	0.8983	0.8996	
train losses     26:	0.5888	0.3275	0.2326	0.2314	0.3313	0.3206	0.344	0.3467	0.3962	0.403	0.8592	0.8669	0.8682	0.8702	
train losses     27:	0.5663	0.3241	0.2271	0.2246	0.3309	0.32	0.3403	0.3391	0.3938	0.3996	0.765	0.7697	0.8388	0.8405	
train losses     28:	0.5789	0.3246	0.2317	0.2282	0.3307	0.3201	0.3414	0.342	0.3908	0.3962	0.7529	0.7655	0.8168	0.8212	
train losses     29:	0.5878	0.322	0.2323	0.2286	0.3304	0.3197	0.3379	0.3428	0.3879	0.394	0.8026	0.8121	0.8043	0.8069	
train losses     30:	0.5781	0.3215	0.2269	0.2234	0.3301	0.3199	0.3375	0.3403	0.3874	0.3928	0.8551	0.8589	0.8109	0.8099	

