train losses      0:	0.5411	0.5622	0.3391	0.3292	0.6991	 0.741	0.4617	 0.467	 1.535	 1.558	 1.427	 1.431	
val losses        0:	0.4405	0.4826	0.3399	0.3278	0.6639	0.7094	0.4394	0.4473	  1.57	 1.607	 1.543	 1.521	 | 0.841 mean
                     	 1.356	 1.474	0.8978	0.8737	 1.964	  2.07	 1.215	  1.22	 4.677	 4.742	  4.41	 4.348	 | 2.961 quantile
                      	 5.262	 6.144	 3.078	 2.893	 7.153	 7.003	 3.062	  3.05	 14.12	 13.39	 9.702	  9.73	 | 14.12 max

train losses      5:	0.2844	0.2702	0.3376	 0.326	0.3806	   0.4	 0.439	0.4498	 1.063	 1.079	 1.224	 1.222	
val losses        5:	 0.269	0.2601	0.3347	 0.324	0.4104	0.4229	0.4224	0.4347	 1.309	 1.311	 1.425	 1.419	 | 0.6952 mean
                     	0.7229	0.7187	0.8824	0.8556	 1.133	 1.168	 1.144	 1.168	  3.64	  3.64	 3.793	 3.803	 | 2.545 quantile
                      	 2.713	 2.384	 3.239	 2.916	 3.157	 3.446	 2.865	 2.813	 11.13	 10.09	 8.241	 8.341	 | 11.13 max

train losses     10:	0.2556	0.2424	0.3358	0.3216	0.3503	0.3628	0.4171	0.4283	0.9262	0.9399	 1.064	 1.061	
val losses       10:	 0.252	0.2433	0.3341	0.3213	 0.385	0.3922	0.4061	0.4196	 1.246	 1.264	 1.408	 1.404	 | 0.673 mean
                     	0.6721	0.6659	0.8826	0.8492	 1.029	  1.05	 1.102	 1.127	 3.422	 3.448	  3.77	 3.765	 | 2.442 quantile
                      	 2.724	 2.162	   3.3	 2.887	 2.796	 3.215	 2.719	 2.735	 9.606	 8.556	 7.855	 8.008	 | 9.606 max

train losses     15:	0.2445	0.2334	0.3336	0.3184	0.3278	0.3358	0.3901	0.4015	0.7224	0.7163	0.8345	0.8351	
val losses       15:	0.2425	0.2365	0.3328	0.3192	0.3771	0.3831	0.3872	0.3989	 1.272	 1.281	 1.447	 1.446	 | 0.6769 mean
                     	0.6508	 0.644	0.8791	0.8432	 1.002	  1.01	 1.047	 1.065	 3.465	  3.49	 3.872	 3.856	 | 2.497 quantile
                      	 2.844	 2.058	 3.272	 2.833	 2.686	 2.861	 2.377	 2.449	  9.49	 8.894	 7.843	 8.092	 | 9.49 max

train losses     20:	0.2411	0.2308	0.3283	0.3164	0.3172	0.3233	0.3737	0.3789	0.7345	0.7595	0.9639	0.9716	
val losses       20:	0.2394	0.2324	0.3301	0.3181	0.3745	0.3782	0.3788	0.3832	 1.453	 1.455	 1.517	 1.515	 | 0.7146 mean
                     	0.6403	0.6317	0.8675	 0.842	0.9909	0.9894	 1.016	 1.002	 3.849	 3.866	 3.969	 4.008	 | 2.663 quantile
                      	 3.094	 2.139	 3.117	 2.826	 2.679	 3.008	 2.165	 2.627	 9.218	 8.963	 8.928	 8.922	 | 9.218 max

train losses     25:	0.2322	0.2226	0.3239	0.3142	0.3031	0.3061	  0.36	0.3631	0.5876	0.5811	0.6202	0.6211	
val losses       25:	 0.235	0.2289	 0.327	0.3175	0.3699	0.3737	0.3741	0.3786	 1.307	 1.314	 1.465	 1.466	 | 0.6798 mean
                     	0.6265	0.6203	0.8628	0.8402	0.9838	 0.982	0.9993	0.9965	 3.585	 3.586	 3.917	 3.913	 | 2.527 quantile
                      	  2.96	 1.951	 3.105	 2.849	 2.808	 2.878	 2.218	 2.655	 9.374	 9.545	   8.1	 8.254	 | 9.545 max

train losses     30:	0.2327	0.2253	0.3221	0.3131	 0.298	0.3026	0.3521	0.3541	0.6948	0.7226	0.7747	0.7735	
val losses       30:	0.2353	0.2304	0.3263	0.3165	0.3712	0.3742	0.3746	0.3777	 1.367	  1.38	 1.519	 1.517	 | 0.6991 mean
                     	0.6267	0.6225	0.8591	0.8344	0.9824	0.9773	0.9992	0.9916	 3.701	  3.67	 4.076	 4.052	 | 2.633 quantile
                      	 3.103	 2.022	 3.047	 2.842	 2.852	 3.008	 2.159	 2.653	 9.513	 8.881	 9.004	 9.119	 | 9.513 max

train losses     35:	0.2253	 0.217	0.3198	0.3106	 0.288	0.2911	0.3401	0.3428	0.6166	0.6058	0.6238	0.6209	
val losses       35:	0.2317	0.2286	0.3271	0.3166	0.3665	 0.373	0.3734	0.3776	  1.37	 1.385	 1.576	 1.579	 | 0.7087 mean
                     	0.6168	0.6131	0.8602	0.8363	0.9779	0.9765	0.9893	0.9878	 3.749	 3.744	 4.182	 4.168	 | 2.71 quantile
                      	 3.139	  1.96	 2.939	 2.869	 2.723	 3.122	 2.152	 2.658	 9.903	 9.991	 8.939	 8.812	 | 9.991 max

train losses     40:	0.2268	0.2175	0.3188	0.3093	0.2873	0.2947	0.3308	0.3341	0.5709	0.5819	0.7966	0.8074	
val losses       40:	0.2312	0.2273	0.3292	0.3163	 0.368	0.3763	0.3765	0.3793	 1.395	 1.403	  2.01	 2.017	 | 0.7858 mean
                     	0.6138	0.6078	 0.861	0.8345	0.9814	0.9884	0.9966	0.9877	 3.881	 3.867	 4.745	 4.734	 | 3.139 quantile
                      	 2.915	 1.913	 2.874	 2.908	 2.588	 2.919	   2.3	 2.739	 9.735	 9.691	  9.33	 9.244	 | 9.735 max

train losses     45:	0.2307	0.2207	0.3167	0.3083	0.2916	0.2979	0.3219	0.3259	0.5009	0.5058	0.6233	0.6139	
val losses       45:	0.2293	0.2247	0.3248	0.3148	0.3669	0.3713	 0.372	0.3745	 1.359	 1.362	 1.547	 1.541	 | 0.6989 mean
                     	0.6075	0.6009	 0.857	0.8281	0.9835	0.9758	0.9824	0.9747	  3.82	  3.75	 4.225	 4.214	 | 2.672 quantile
                      	 2.742	 2.102	 2.995	 2.865	 2.447	 2.997	 2.341	 2.844	 9.341	 9.573	 9.377	 9.333	 | 9.573 max

