train losses      0:	0.5498	0.5677	0.3405	0.3345	0.6909	0.7391	0.4703	 0.471	 1.514	 1.531	 1.424	 1.428	
val losses        0:	 0.476	0.5068	0.3377	0.3328	0.6623	0.6992	0.4444	0.4456	 1.499	 1.519	 1.523	 1.511	 | 0.8298 mean
                     	 1.464	 1.546	0.8926	0.8774	 1.972	 2.046	  1.22	 1.213	 4.451	 4.504	 4.338	 4.307	 | 2.919 quantile
                      	 6.954	 7.447	 3.093	 2.915	 7.223	  6.88	 3.144	 3.101	 13.78	 12.82	 9.687	  9.53	 | 13.78 max

train losses      5:	0.4065	0.4292	0.4116	 0.403	0.4674	0.4725	 0.513	0.5067	0.7836	0.7774	 1.123	 1.132	
val losses        5:	0.2943	0.3126	0.3414	0.3262	0.4297	0.4225	0.4347	0.4374	0.8317	0.8112	 1.311	 1.304	 | 0.6048 mean
                     	0.8147	0.8713	0.9025	0.8573	 1.177	 1.158	 1.182	 1.171	 2.319	 2.225	 3.539	 3.561	 | 2.033 quantile
                      	 13.55	 9.919	 3.041	 3.063	 11.14	 12.21	 3.466	 2.958	 14.63	 13.98	 6.492	 6.705	 | 14.63 max

train losses     10:	0.3612	0.3716	0.3825	0.3751	0.4147	0.4157	0.4851	0.4819	0.6556	0.6406	 0.947	0.9532	
val losses       10:	0.2702	0.2722	 0.335	0.3251	   0.4	0.3944	0.4235	0.4266	 0.773	0.7695	 1.288	 1.272	 | 0.5791 mean
                     	0.7219	0.7283	0.8851	0.8556	  1.08	 1.053	  1.15	 1.146	 2.095	  2.08	 3.459	 3.486	 | 1.935 quantile
                      	 20.62	 17.28	 2.915	 2.854	 16.56	 19.98	 3.722	 3.024	 16.35	  16.3	 7.158	 6.433	 | 20.62 max

train losses     15:	0.3385	0.3459	0.3645	0.3553	 0.382	0.3791	0.4599	0.4546	0.5951	0.5932	 0.856	0.8641	
val losses       15:	0.2609	0.2548	0.3303	0.3199	0.3843	0.3877	0.4081	0.4088	0.7677	0.7739	 1.269	 1.254	 | 0.5683 mean
                     	0.6819	0.6642	0.8667	0.8443	 1.035	0.9925	 1.106	 1.095	 2.061	 2.031	 3.417	 3.372	 | 1.901 quantile
                      	 23.42	 22.02	 2.916	 2.817	 22.99	  27.4	 4.629	 4.373	  18.5	 19.12	 7.363	 7.454	 | 27.4 max

train losses     20:	0.3287	0.3347	0.3516	0.3427	0.3668	0.3658	0.4232	0.4189	0.5955	0.5983	 0.679	0.6843	
val losses       20:	0.2581	  0.26	0.3261	0.3168	0.3762	0.3783	0.3746	0.3778	0.7867	0.7901	 1.198	 1.186	 | 0.5524 mean
                     	0.6682	0.6849	0.8566	0.8336	0.9835	0.9442	 1.017	 1.008	 2.134	 2.081	 3.268	 3.243	 | 1.821 quantile
                      	 24.34	 25.06	 2.822	 2.814	 26.94	 31.78	 5.099	 5.384	 18.28	 19.58	 9.743	 9.227	 | 31.78 max

train losses     25:	 0.315	0.3186	0.3413	 0.332	0.3413	0.3427	0.3846	0.3807	0.5345	0.5368	0.5159	0.5232	
val losses       25:	0.2481	0.2544	0.3242	0.3143	 0.372	 0.375	0.3551	0.3551	0.8497	0.8512	 1.198	 1.182	 | 0.5565 mean
                     	0.6419	0.6596	 0.851	0.8318	0.9547	0.9333	0.9503	0.9454	 2.358	 2.307	 3.219	 3.175	 | 1.872 quantile
                      	  25.8	 27.85	  2.79	 2.793	 29.35	 34.26	  6.15	 6.752	 16.16	 18.72	 10.09	 9.701	 | 34.26 max

train losses     30:	0.3048	0.3106	0.3326	0.3232	0.3285	 0.334	0.3643	0.3603	0.5006	   0.5	0.6249	0.6299	
val losses       30:	0.2548	0.2536	0.3238	0.3139	0.3794	0.3801	0.3576	0.3582	0.7928	 0.791	 1.258	 1.246	 | 0.5591 mean
                     	0.6645	0.6517	0.8466	0.8314	0.9682	0.9342	0.9444	0.9413	 2.168	 2.102	 3.421	 3.395	 | 1.875 quantile
                      	 26.64	 29.89	 2.974	 2.929	 31.82	 36.93	 7.168	 7.832	 17.44	 20.09	 10.17	 9.474	 | 36.93 max

train losses     35:	0.3009	0.3031	0.3268	0.3167	0.3227	0.3247	0.3443	0.3409	0.4465	0.4453	0.5969	 0.602	
val losses       35:	0.2572	0.2513	0.3238	0.3137	0.3745	0.3776	0.3536	0.3545	0.7798	0.7881	 1.265	 1.257	 | 0.5579 mean
                     	0.6577	0.6504	0.8456	 0.835	0.9297	0.9144	0.9271	0.9335	 2.097	 2.014	 3.421	 3.377	 | 1.883 quantile
                      	 27.95	 31.59	 3.434	 3.183	 33.38	 38.59	 7.931	 8.145	 20.97	 23.15	 11.01	  10.5	 | 38.59 max

train losses     40:	0.2931	0.2972	0.3213	0.3113	0.3137	0.3159	0.3271	0.3252	0.4998	0.4991	0.5047	0.5058	
val losses       40:	0.2554	0.2514	0.3253	0.3145	0.3742	 0.378	 0.362	0.3625	0.8957	0.9135	 1.233	 1.223	 | 0.5741 mean
                     	 0.652	0.6467	0.8479	0.8315	0.9302	 0.902	0.9497	0.9655	  2.35	  2.33	 3.293	 3.275	 | 1.925 quantile
                      	 28.55	 32.62	 3.812	 3.606	 35.66	 40.92	 7.836	 8.251	  21.1	  23.0	 12.88	 12.32	 | 40.92 max

train losses     45:	0.2853	0.2893	0.3168	0.3065	0.3057	0.3112	0.3093	0.3072	0.4369	0.4261	0.4455	 0.452	
val losses       45:	0.2497	0.2516	0.3255	0.3141	0.3672	0.3741	0.3527	 0.355	0.7858	 0.794	 1.387	 1.386	 | 0.5785 mean
                     	0.6345	0.6547	0.8529	0.8268	0.9124	0.9003	0.9169	0.9237	 2.141	 2.055	 3.701	 3.693	 | 1.981 quantile
                      	 28.93	 33.61	 4.312	 3.989	 35.41	 40.84	 7.858	 8.634	 18.52	 20.72	  15.0	 14.36	 | 40.84 max

